"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"168",168,98.4928,11.2840617847139,0.814180925488419,0.0303696030945594,0.4788,0.4862,0.4888,1,1,1
"169",169,98.5944,11.1447465386154,0.803083594071042,0.0305004593966501,0.48,0.488,0.494,1,1,1
"170",170,98.4928,11.8026692276911,0.782790813686708,0.0304759317379773,0.4886,0.4782,0.4956,1,1,1
"171",171,98.536,11.4084673869548,0.812930926110918,0.0308265740547366,0.4748,0.4808,0.4986,1,1,1
"172",172,98.5,11.3465386154462,0.795162532181273,0.0309662272431884,0.4742,0.486,0.4996,1,1,1
"173",173,98.6964,10.74452484994,0.833558900259524,0.0310139283181499,0.4728,0.498,0.4986,1,1,1
"174",174,98.566,11.5214525810324,0.800764431644642,0.0312283194467747,0.4594,0.4922,0.492,1,1,1
"175",175,98.6632,12.0129709483794,0.787442827571361,0.0314696749908073,0.444,0.5028,0.495,1,1,1
"176",176,98.7016,11.2546593037215,0.809544581804537,0.0316936958371381,0.4428,0.5034,0.4948,1,1,1
"177",177,98.7176,11.2191378951581,0.789966678443643,0.031946601027828,0.4452,0.5058,0.487,1,1,1
"178",178,98.7948,11.7846068027211,0.772494625452013,0.0322323891430718,0.4544,0.5108,0.4804,1,1,1
"179",179,98.8176,10.8374652260904,0.799317424249854,0.0323255461847438,0.4616,0.5088,0.4826,1,1,1
"180",180,98.824,10.9309963985594,0.801516091338002,0.0325651931855978,0.458,0.52,0.4738,1,1,1
"181",181,98.6888,11.301275070028,0.786565928542224,0.0326937003297203,0.4612,0.5262,0.4846,1,1,1
"182",182,98.8524,11.6640798719488,0.807008033707189,0.0326872725952184,0.4638,0.535,0.4932,1,1,1
"183",183,98.8164,11.8122159263705,0.79152739632314,0.0330727980072894,0.4674,0.5262,0.5008,1,1,1
"184",184,98.7412,11.6228717086835,0.822832314549843,0.0331542987377824,0.4634,0.52,0.499,1,1,1
"185",185,98.8092,12.1552574629852,0.791249972955613,0.0331004646969117,0.4782,0.52,0.5054,1,1,1
"186",186,98.8364,11.5670618647459,0.801862871265913,0.0336115726659795,0.475,0.5306,0.5072,1,1,1
"187",187,98.8112,11.5177616646659,0.784228839537094,0.0336544050478761,0.4774,0.5264,0.5072,1,1,1
"188",188,98.7688,11.727237454982,0.809926405615403,0.0338747420009973,0.4796,0.5256,0.503,1,1,1
"189",189,98.6868,11.1491654261705,0.805248356776716,0.0341713231980748,0.48,0.531,0.4992,1,1,1
"190",190,98.738,11.5347699079632,0.809014552795296,0.0341863136697547,0.4822,0.546,0.4888,1,1,1
"191",191,98.7416,11.8867841536615,0.825032125151846,0.0342931153570791,0.4778,0.5532,0.4984,1,1,1
"192",192,98.7984,11.5935948779512,0.807030538201718,0.0346159155597695,0.4794,0.5454,0.4954,1,1,1
"193",193,98.8588,11.8860169667867,0.813649770904482,0.0349830015791099,0.4742,0.5322,0.481,1,1,1
"194",194,98.894,11.6474229691877,0.788961851326713,0.0348544216459622,0.479,0.5288,0.48,1,1,1
"195",195,98.9696,11.9710642657063,0.812568184956699,0.0351473420517651,0.4872,0.5254,0.4794,1,1,1
"196",196,98.9792,11.3497072428972,0.822222864061831,0.0353734751535608,0.4896,0.5336,0.4896,1,1,1
"197",197,99.0548,11.8141226090436,0.806684835158594,0.0356557432322619,0.497,0.531,0.489,1,1,1
"198",198,98.9488,11.9333519007603,0.788503350394165,0.0356707050251318,0.512,0.5364,0.4934,1,1,1
"199",199,99.0536,11.8170538615446,0.807844019868925,0.035727254696757,0.4992,0.54,0.4922,1,1,1
"200",200,98.9276,12.183231532613,0.805131000974726,0.035959894234609,0.5004,0.5464,0.4882,1,1,1
"201",201,98.9544,11.6305728691477,0.808130532705924,0.0363321815299914,0.5022,0.5524,0.4906,1,1,1
"202",202,99.0752,12.3008653061224,0.808407470294987,0.0363686532003589,0.5106,0.5454,0.4956,1,1,1
"203",203,99.0376,12.1426432973189,0.795985202652572,0.036528489951925,0.5112,0.5524,0.4884,1,1,1
"204",204,99.11,11.1367547018808,0.814608301968147,0.036819262514231,0.5178,0.5502,0.4884,1,1,1
"205",205,99.1132,11.8299177270908,0.813931041367421,0.0368236525793508,0.5058,0.5428,0.4892,1,1,1
"206",206,99.1748,11.7105291716687,0.812049217504757,0.0371664640876697,0.5016,0.5442,0.4932,1,1,1
"207",207,99.1996,12.3791114845938,0.790966268947113,0.0371642523549381,0.507,0.5472,0.4842,1,1,1
"208",208,99.1792,11.5389029211685,0.821195479561903,0.0375932826279063,0.5028,0.5462,0.4872,1,1,1
"209",209,99.234,11.9008043217287,0.790244501449389,0.0377285711349773,0.4978,0.5488,0.48,1,1,1
"210",210,99.1348,11.598868507403,0.837625604385166,0.037746716711158,0.4894,0.5526,0.4818,1,1,1
"211",211,99.1828,12.1726532212885,0.802342963322255,0.03793840291844,0.4906,0.5476,0.4806,1,1,1
"212",212,99.1528,12.104694037615,0.797446093754587,0.0382503873814341,0.4764,0.5574,0.4782,1,1,1
"213",213,99.1664,11.925881392557,0.806142901257633,0.0384651375983371,0.4792,0.5586,0.4754,1,1,1
"214",214,99.1988,11.6583418967587,0.790190320814889,0.0383975865480361,0.4944,0.553,0.474,1,1,1
"215",215,99.3188,11.7258569027611,0.820852411809768,0.038630627832053,0.5,0.5496,0.4808,1,1,1
